name,3_grams_1,3_grams_2,3_grams_3
otiny,update,,
lucascheng,commit 10th's week,10th's week homework.,week homework.
Chloe Hollingsworth,Formatting,,
Raboliot Le Gris,Fractal: first version,first version of,version of zoom
WillHoll,small change to,change to sweet,to sweet alert
nhloder,Merge pull request,pull request #21,request #21 from
Oliver,"Header

Added a header",a header,header
hellenxu,news of as:,of as: a,as: a bit
Logan,Update release.yml,release.yml,
keum,Status for 12-31-2019,for 12-31-2019 04:50:00,12-31-2019 04:50:00 PM
AppEasyLevel,Update appeasyads.json,appeasyads.json,
John,Create base_pipe.py,base_pipe.py,
sgoldenlab,Update Tutorial_DLC.md,Tutorial_DLC.md,
Bartłomiej Sienko,move global style,global style to,style to index.js
otiny,update,,
Travis,V1.0.2445 BLACKWEB [PyFunceble],BLACKWEB [PyFunceble],[PyFunceble]
Yuan Hu,Update README.md,README.md,
Arthur Vickers,Throw if identifying,if identifying foreign,identifying foreign key
Arthur Vickers,Regression test for,test for TPH,for TPH model
Arthur Vickers,Fix propagation of,propagation of fixed,of fixed length
Arthur Vickers,Fix small typos,small typos in,"typos in docs/strings

Fixes"
Arthur Vickers,Update SQL Server,SQL Server type,Server type mappings
Arthur Vickers,Don't set FK,set FK properties,FK properties to
Arthur Vickers,Prevent temporary value,temporary value being,value being left
Arthur Vickers,Always store original,store original values,original values for
Smit Patel,Query: Improvements to,Improvements to Navigation,"to Navigation Expansion

-"
limin0801,Upload by PicGo,by PicGo,PicGo
nemoluna,bossDB,,
Abdul-fatai,restructuring code to,code to use,to use Context
zebingl@fb.com,Add disqus,disqus,
Safiya,Update CNAME,CNAME,
Shen Yang,added ability to,ability to fill,to fill input
Pieter Schutz,Fixing saves,saves,
Caio Augusto Barretta,Collection Fixtures,Fixtures,
Carlos Arturo Vargas,Estilos del logo,del logo hechos,logo hechos
Ryan Henning,Working on dashboard...,on dashboard...,dashboard...
otiny,update,,
David Ralph,Update LICENSE,LICENSE,
Chaoyi He,investing research,research,
Chaoyi He,login + router,+ router,router
Christian,flair,,
FreedomFries37,Added .gitignore,.gitignore,
mmetaa,Update projector.py,projector.py,
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:54:10
Song,Update 2019-12-31-diary.md,2019-12-31-diary.md,
amir,added workout,workout,
scignscape-rz,update,,
Russell Standish,Throw exception if,exception if variable's,if variable's type
SuzeShardlow,Adds .jekyll.cache/ to,.jekyll.cache/ to .gitignore,to .gitignore
Bot,update,,
haringma15,Implement portfolio button,portfolio button functionality,button functionality
Jake Witcher,remove newlines,newlines,
Mertcan GÖKGÖZ,Change some stuff,some stuff,stuff
ericyueyi,eric 提交,提交,
otiny,update,,
Nejc Dougan,fix loading project,loading project meta,project meta data
Vishnu Bharathi,[deploy] Adds a,Adds a book,a book
donaldsouza,message_2020-01-01T00:54:14,,
Al,favicon,,
Guy,first commit,commit,
Gary Ritchie,cleanup static HTML,static HTML for,"HTML for accessibility,"
Gary,Merge pull request,pull request #5942,request #5942 from
rimblood,bossDB,,
TeaDrivenDev,[F#] Solve Nucleotide,Solve Nucleotide Count,Nucleotide Count exercise
jenkins-x-bot,chore: Promote bdd-sbhg-1577839614,Promote bdd-sbhg-1577839614 to,bdd-sbhg-1577839614 to version
cjxd-bot-test,Merge pull request,pull request #2,request #2 from
jenkins-x-bot,Publishing files for,files for path,for path jenkins-x/logs/cb-kubecd/environment-pr-120-100-boot-gke-staging/PR-2/1.log
Chloe Hollingsworth,Formatting,,
otiny,update,,
santorregroza,Fixed several issues,several issues with,issues with the
Sebastián Aberastury,my commit message,commit message,message
OPSTestProduction,Create a file,a file E2E_DocsBranch_Prod_Dynamic/index.md,file E2E_DocsBranch_Prod_Dynamic/index.md at
damienliccia,ajout réseaux sociaux,réseaux sociaux,sociaux
pcubillos,Implemented pm.open() function,pm.open() function to,function to open
pcubillos,Implemented pm.request_ads() function,pm.request_ads() function to,function to request
tony0408,json files updated,files updated,updated
Ethan Hathaway,Wip: finish most,finish most fundamental,most fundamental types
XiaoheiWorld,Update auth.txt,auth.txt,
Cubity,update mobs +,mobs + remove,+ remove some
otiny,update,,
The Tester,Add report,report,
aaiden Nicolas Witten,Automatically backed up,backed up by,up by Learn
Eddie.Cai,Initial empty repository,empty repository,repository
Eddie Cai,initail commit: move,commit: move file,move file from
Eddie Cai,move resize-helper to,"resize-helper to here

Change-Id:","to here

Change-Id: I4272210f447bbf9b26c02e43d3518d4dcbebbcdb
Signed-off-by:"
Eddie Cai,add script for,script for gst,"for gst audio

Change-Id:"
Eddie Cai,"add mp3, mp4,","mp3, mp4, wav","mp4, wav play"
Eddie Cai,"add gstvideotest.sh

Change-Id: Ie9e5f4e98e2454fae7dbb0a0fe5583487753dd2d
Signed-off-by:","gstvideotest.sh

Change-Id: Ie9e5f4e98e2454fae7dbb0a0fe5583487753dd2d
Signed-off-by: Eddie","Ie9e5f4e98e2454fae7dbb0a0fe5583487753dd2d
Signed-off-by: Eddie Cai"
Eddie Cai,"add gstvideoplay.sh

Change-Id: I3422b130f1f0a41e1ac96f9165b99cbb0b4a2384
Signed-off-by:","gstvideoplay.sh

Change-Id: I3422b130f1f0a41e1ac96f9165b99cbb0b4a2384
Signed-off-by: Eddie","I3422b130f1f0a41e1ac96f9165b99cbb0b4a2384
Signed-off-by: Eddie Cai"
Eddie Cai,S21mountall.sh: sync to,"sync to buildroot

Change-Id:","to buildroot

Change-Id: I4c3fd10cae047dd55fe02a553d85fa0192f44124
Signed-off-by:"
Zain Wang,S50usbdevice: add chip,add chip serialnumber,chip serialnumber to
Zain Wang,S50usbdevice: add NTB,add NTB usb,"NTB usb configfs

Change-Id:"
Jeffy Chen,S21mountall.sh: Support mtd,"Support mtd devices

Change-Id:","mtd devices

Change-Id: I63c321e499a83225c30ad34d271765b9172b0cff
Signed-off-by:"
Jeffy Chen,S21mountall.sh: Support ubifs,Support ubifs for,"ubifs for mtd

Attach"
Weixin Zhou,S50usbdevice: add ACM,add ACM usb,"ACM usb configfs

Change-Id:"
jkand.huang,61-partition-init.rules: support for,"support for mtd.

Change-Id:","for mtd.

Change-Id: I49860201369e277fb5795d701b737a85b2e4edb5
Signed-off-by:"
yuyongzhen,"Merge ""S21mountall.sh: Support","""S21mountall.sh: Support mtd","Support mtd devices"""
yuyongzhen,"Merge ""S21mountall.sh: Support","""S21mountall.sh: Support ubifs",Support ubifs for
yuyongzhen,"Merge ""61-partition-init.rules: support","""61-partition-init.rules: support for","support for mtd."""
Jeffy Chen,S21mountall.sh: Fix oem,Fix oem cmd,"oem cmd error

Need"
Jeffy Chen,S21mountall.sh: Fix oem,Fix oem erase,oem erase cmd
Jeffy Chen,S21mountall.sh: Fix hang,Fix hang without,hang without a
zack,/ ‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,2017.md’
trimstray,"add 'bed'
- signed-off-by:","'bed'
- signed-off-by: trimstray",signed-off-by: trimstray <trimstray@gmail.com>
Hunter Young,renamed topic back,topic back to,back to default
KRealm Web Services,Restarted from scratch,from scratch,scratch
Ramazan Celep,Automatically backed up,backed up by,up by Learn
Christopher Jospeh Stryker,MVP and updates,and updates from,updates from ah
roboticslab,fine tunned red,tunned red autonomous,red autonomous to
otiny,update,,
Anders Aamodt,goIn now switches,now switches to,switches to priorities
Anders Aamodt,Merge branch 'master',branch 'master' of,'master' of https://github.com/autonomousorganization/ao
Anders Aamodt,bigger sun/bull when,sun/bull when navigated,when navigated there;
Anders Aamodt,fixed red bird,red bird on,bird on guild
Anders Aamodt,fixed navigation more,navigation more,more
Anders Aamodt,improved dabigation; fixed,dabigation; fixed bug,fixed bug on
Anders Aamodt,Merge branch 'mobileexperience',branch 'mobileexperience' of,'mobileexperience' of https://github.com/autonomousorganization/ao
Anders Aamodt,Merge branch 'mobileexperience',branch 'mobileexperience' of,'mobileexperience' of https://github.com/autonomousorganization/ao
Anders Aamodt,several small changes,small changes,changes
Anders Aamodt,a few page,few page width,page width improvements
Anders Aamodt,fixed some width,some width stuff,width stuff
Anders Aamodt,added the magic,the magic div,magic div back
taylor,"move gifts, remove","gifts, remove skel",remove skel n
v-acoder,Site updated: 2020-01-01,updated: 2020-01-01 08:54:18,2020-01-01 08:54:18
Harry R. Schwartz,Add giant chocolate,giant chocolate trifle,chocolate trifle photo
GAierken,delete for review,for review worked,review worked
Guligena Aierken,Merge pull request,pull request #20,request #20 from
Robbie Gay,Read through Hooks,through Hooks,Hooks
highwill,1,,
Peter Barker,autotest: add test,add test for,test for accelerometer
Ryan Gurney,ASDf,,
byte[],fix channel creation,channel creation errors,creation errors
Cory Henderson,send rooms to,rooms to front,to front end
Steven Zhu,Automatically backed up,backed up by,up by Learn
asdfghy6,'',,
Michael Park,Git gud commit,gud commit now,commit now skips
Michael Park,"Names merge commits
-","merge commits
- Intercepts","commits
- Intercepts merge"
Michael Park,Added commitmsg hook,commitmsg hook,hook
Michael Park,Gitpython now ignores,"now ignores hooks
-","ignores hooks
- If"
Michael Park,"Track Merges
- Counts","Merges
- Counts number",Counts number of
Flutterlice,Fix for a,for a wrong,a wrong URL
akircher,Fix woocommerce api,woocommerce api endpoint,api endpoint
Sergei Gerasenko,Add ability to,ability to run,to run rspec
otiny,update,,
GoSeungUk,bossDB,,
limin0801,Upload by PicGo,by PicGo,PicGo
5john,2020/01/01 00:54:24 ,00:54:24  ,  
LambdAurora,:construction: WIP of,WIP of chording,of chording and
Dwight Hubbard,Merge pull request,pull request #16,request #16 from
Dwight Hubbard,Only load the,load the plugins,the plugins once
Dwight Hubbard,Return the plugins,the plugins,plugins
Dwight Hubbard,Change pep8 line,pep8 line length,line length setting
Dwight Hubbard,Merge pull request,pull request #17,request #17 from
Michael Overmeyer,Switched broken pypip.in,broken pypip.in badges,pypip.in badges to
Dwight Hubbard,Merge pull request,pull request #18,request #18 from
dhubbard,Merging in yahoo,"in yahoo changes

#","yahoo changes

# Conflicts:
#	README.rst
#	hostlists/__init__.py
#	hostlists/range.py
#	setup.py
#	tox.ini"
Dwight Hubbard,Merge pull request,pull request #19,request #19 from
Scott Matsuda,Automatically backed up,backed up by,up by Learn
Chloe Hollingsworth,Formatting,,
TigerMuskellunge,Update Lakes.css,Lakes.css,
Birgerev,Asynced AutosaveAllBlocks,AutosaveAllBlocks,
sn2111,01/01/2020 01:48:12,01:48:12,
Austin Gill,Remove template placeholders,template placeholders,placeholders
Austin Gill,"Build benchmarks, tests,","benchmarks, tests, shared,static","tests, shared,static libraries"
Austin Gill,Parse .hpp header,.hpp header files,header files for
Austin Gill,Fix makefile for,makefile for shared,for shared library
Austin Gill,Avoid trailing return,trailing return types,return types </3
Kesav Kadalazhi,Added more pipes,more pipes,pipes
Kesav Kadalazhi,Merge branch 'bettercode',branch 'bettercode','bettercode'
Rebecca Wallander,c64_cass.xml - Update,"- Update bmxracersa3

Actually,","Update bmxracersa3

Actually, this"
David Haywood,new WORKING clones,"WORKING clones (#6115)

*","clones (#6115)

* new"
ajrhacker,Merge pull request,pull request #6113,request #6113 from
charlesdanner,Merge pull request,pull request #33,request #33 from
John Carver,fixed regex on,regex on signup,"on signup page,"
John Carver,added game services,game services input,services input to
charlesdanner,Merge pull request,pull request #34,request #34 from
shawngway,Merge pull request,pull request #35,request #35 from
ShawnG,theGrid custom images,custom images by,images by unknown
Kaylee,Completed step 4,step 4,4
zack,/ ‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,‘Class_Notes/2019/Analysis/Review/Quals/Solutions/Fall 2017.md’,2017.md’
Thomas Roberts,Renamed message variables,message variables,variables
hydra3333,Add files via,files via upload,via upload
SockPuppetry,Travis CI build,CI build 187088,build 187088
Stepan Koltsov,Mute deprecation warning,deprecation warning in,warning in test
Bitnami Bot,5.7.28-debian-9-r65 release,release,
asdfghy6,'',,
direwolf-github,add readme.txt,readme.txt,
Jun Mark Torii,Fix localized strings,localized strings and,strings and create
otiny,update,,
Arthur Vickers,Throw if identifying,if identifying foreign,identifying foreign key
Arthur Vickers,Regression test for,test for TPH,for TPH model
Arthur Vickers,Fix propagation of,propagation of fixed,of fixed length
Arthur Vickers,Fix small typos,small typos in,"typos in docs/strings

Fixes"
Arthur Vickers,Update SQL Server,SQL Server type,Server type mappings
Arthur Vickers,Don't set FK,set FK properties,FK properties to
Arthur Vickers,Prevent temporary value,temporary value being,value being left
Arthur Vickers,Always store original,store original values,original values for
Smit Patel,Query: Improvements to,Improvements to Navigation,"to Navigation Expansion

-"
Smit Patel,Query: Convert Enumerable,Convert Enumerable methods,Enumerable methods to
Jonathan Sterling,changing grammar to,grammar to be,to be higher
direwolf-github,add readme.txt,readme.txt,
Eddie.Cai,Initial empty repository,empty repository,repository
Eddie Cai,add io and,"io and update

Change-Id:","and update

Change-Id: Ie977ce5cdb1024c1262afd260150b0b1351de632
Signed-off-by:"
Zain Wang,"add vendor_storage

Change-Id: I0f4b141ddcc78a9efd0c6c20c514d50e965b8328
Signed-off-by:","vendor_storage

Change-Id: I0f4b141ddcc78a9efd0c6c20c514d50e965b8328
Signed-off-by: Zain","I0f4b141ddcc78a9efd0c6c20c514d50e965b8328
Signed-off-by: Zain Wang"
direwolf-github,add readme.txt,readme.txt,
Safiya,Update CNAME,CNAME,
himang1124,bossDB,,
mobile-bungalow,"Mobile replies (#87)

*","replies (#87)

* mobile","(#87)

* mobile replies"
amoore2600,Add files via,files via upload,via upload
Conor Casey,Fixed dependencies,dependencies,
direwolf-github,add readme.txt,readme.txt,
direwolf-github,add readme.txt,readme.txt,
Todd McLeod,setup,,
Ling Thio,Update sunnyvale.md,sunnyvale.md,
otiny,update,,
direwolf-github,add readme.txt,readme.txt,
hunterko,v58,,
enpuyou,Adding font color,font color to,color to the
tyler.devtcn@gmail.com,twitter v2,v2,
chuan12,Update data.js,data.js,
Ivan Shcheklein,prettify ts and,ts and tsx,and tsx according
Ivan Shcheklein,fix top menu,top menu styles,menu styles to
gerritcodereview-prober@gerritcodereview-prober.iam.gserviceaccount.com,adding timestamp file,timestamp file,file
otiny,update,,
Ekpenyong,travis fix,fix,
chuan12,Update data.json,data.json,
AhmedOsama,Add files via,files via upload,via upload
davisc0801,Finalize card layouts,card layouts and,layouts and breakpoints
otiny,update,,
enpuyou,change exception message,exception message to,message to be
dloush,Set theme jekyll-theme-slate,theme jekyll-theme-slate,jekyll-theme-slate
ehuan2,Added a bunch,a bunch of,bunch of classes
Kent Roth,Hooking up the,up the edit,the edit ticket
keptn,Added resources,resources,
EveningShade,系统设置内容添加2.1,,
Test Author,New PR to,PR to test,to test SignCLA
Scott Matsuda,Automatically backed up,backed up by,up by Learn
htstinson,Update ChallengeSteps.txt,ChallengeSteps.txt,
toppk,tidy,,
Joshua Gorospe,Updated the robotframework-test-assistant,the robotframework-test-assistant package,robotframework-test-assistant package
123d-com,Add files via,files via upload,via upload
direwolf-github,add readme.txt,readme.txt,
otiny,update,,
cgiovano,added files,files,
Joe Honton,no img,img,
Mariano de Deus,troka kor ba,kor ba tabela,ba tabela
Harsh Patel,Updates,,
Christopher Lakey,Tweaks to exec,to exec model,exec model
Mike King,"style login/out/signup forms,","login/out/signup forms, navbar","forms, navbar fix"
Robert Cochran,Sub Udon for,Udon for Sora,for Sora in
Riley Shaw,Updates,,
Gabriel Chen,add _members description.,_members description.,description.
otiny,update,,
Alan Da Costa,"Update models.md

Fix typos","models.md

Fix typos and",typos and improve
Dan Frost,Finished sign-in handler,sign-in handler,handler
Dan Frost,Root + User,+ User reducer,User reducer and
asdfghy6,'',,
dokyan1989,finished bootcamp apis,bootcamp apis,apis
batmanwgd,beginning of the,of the project,the project
Kyle Biggs,Cleaning out wayland,out wayland,wayland
Michael Goodnow,Add cancancan,cancancan,
Michael Sanders,Add & run,& run shfmt,run shfmt
Michael Sanders,Use bat as,"bat as MANPAGER

See","as MANPAGER

See https://github.com/sharkdp/bat#man."
wessilfie,rebuild pages,pages,
xyeimgs,test,,
otiny,update,,
nprindle,Add overlay to,overlay to get,to get more
Markus Schirp,"Fix readme badges

*","readme badges

* Drop","badges

* Drop defunct
*"
Markus Schirp,Merge pull request,pull request #135,request #135 from
mandeep489,Delete Capstone Project.ipynb,Capstone Project.ipynb,Project.ipynb
nikhil,introPage income btn,income btn changed,btn changed
LiftFork,Delete MsgPack.xml,MsgPack.xml,
Chris Kocks,Update FacePPemotion.js,FacePPemotion.js,
Pierre-Marie Pédrot,Adapt w.r.t. coq/coq#11338.,w.r.t. coq/coq#11338.,coq/coq#11338.
Pierre-Marie Pédrot,Merge pull request,pull request #256,request #256 from
Kazeem Onisarotu,feature(add onboarding page):,onboarding page): added,page): added onboarding
otiny,update,,
asdfghy6,'',,
wangguobin,简化代码，将原适配器模式改为工厂方法获取Logger,,
GitClock,update time,time,
Soljian / Sheaven,fix coquille sql,coquille sql,sql
lpg0,Update index.html,index.html,
eschul07,Update README.md,README.md,
ensorcell,Update README.md,README.md,
youssef muhamad,Configure ESLint and,ESLint and Prettier,and Prettier to
Robbie Gay,Read through Hooks,through Hooks,Hooks
Robbie Gay,Merge pull request,pull request #3,request #3 from
aunmro,update todo,todo,
Bruno S Bertolani,"Add Checkin Module
Update","Checkin Module
Update routes,","Module
Update routes, models"
Yona Appletree,Removed commented block,commented block,block
"Joe Garcia, CISSP",Fix #83 split,#83 split domain,split domain &
otiny,update,,
7ma7X,:up: 2019 ->,2019 -> 2020,-> 2020
MicrocosEm,Add a README.,a README.,README.
HomeAssistant Azure,[ci skip] Translation,skip] Translation update,Translation update
Mohammed,s,,
ethaneee22,Fixed SDMT,SDMT,
ethaneee22,Merge branch 'master',branch 'master' of,'master' of https://github.com/RyanHecht/MCParks-ResourcePack
CoryBorek,Merge branch 'master',branch 'master' into,'master' into release
anggi1234,Add files via,files via upload,via upload
Brian Larsen,Correction to python,to python script,python script to
Zachary Rondos,"Create XCode_and_Github.md

Here is","XCode_and_Github.md

Here is my",is my tutorial
gamsam,tweaks,,
Kevin Wang,Colors and icons,and icons updated,icons updated
RhXKGxbwQHmTREDU,45688566,,
Tyler Lane,Update init.vim,init.vim,
SRK HOST,Update entrypoint.sh,entrypoint.sh,
andrew,Refactored python_alias into,python_alias into shell_init,into shell_init
otiny,update,,
Milad Norouzi,Update README.md,README.md,
wmay,Fix wrong flag,wrong flag ending,flag ending times
Brian Lai,Create blai30.RPGSystems.Editor.asmdef,blai30.RPGSystems.Editor.asmdef,
Luc Rosenzweig,Initialized repo,repo,
wigforss,[maven-release-plugin] prepare release,prepare release java-8-base-0.185,release java-8-base-0.185
DanX27,01 January 2020,January 2020 01:54:58,2020 01:54:58 CET
sjmiller7,Update stylesheet.css,stylesheet.css,
Keks,:heavy_check_mark: Сборка #7,Сборка #7,#7
CorneliaKelinske,working on the,on the saddle_points,the saddle_points exercise;
Weave Flux,Auto-release 164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:82b465d3,164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:82b465d3,
Rahul Ravikumar,Add a converter,a converter from,converter from the
Alisonhardison,added tag button,tag button,button
Vishnu Bharathi,Generated site :sparkles:,site :sparkles:,:sparkles:
otiny,update,,
Ben Parli,"Update tokio (#4)

*","tokio (#4)

* update","(#4)

* update tokio/async

*"
limin0801,Upload by PicGo,by PicGo,PicGo
mandeep489,Delete Capstone Project.pptx,Capstone Project.pptx,Project.pptx
geos4s,Add sgroup07/metar_edhi.csv,sgroup07/metar_edhi.csv,
Jeremy Evans,set things up,things up,up
Jeremy Evans,finish thought,thought,
Melanie McGlynn,Automatically backed up,backed up by,up by Learn
S Joel Franklin,Update README.md,README.md,
szabolaszlo,Admin area security,area security,security
Tommy Chiang,fix layout problem,layout problem,problem
Angel_Kitty,Merge pull request,pull request #635,request #635 from
Melanie McGlynn,Automatically backed up,backed up by,up by Learn
otiny,update,,
tony,Site updated: 2020-01-01,updated: 2020-01-01 08:54:54,2020-01-01 08:54:54
lIeSAUEr,update,,
Rick Marry,fix endtime bug,endtime bug that,bug that causes
Guangning,[Issue 5454][pulsar-client-cpp]Fix cpp,5454][pulsar-client-cpp]Fix cpp client,cpp client schema
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
liESAUer,update website,website,
asdfghy6,'',,
Maurice Perry,More refactoring,refactoring,
morrah,data update,update,
Ivan Acosta-Rubio,Tue Dec 31,Dec 31 18:55:01,31 18:55:01 CST
dondontam,update post,post,
otiny,update,,
Conversation Learner Build,chore(release): publish v0.501.14,publish v0.501.14 [skip,v0.501.14 [skip ci]
scriptzteam,^^uPdAtE,,
buildmaster,Sync docs from,docs from master,from master to
beyonce knowles,update,,
Jackie,Add files via,files via upload,via upload
Jackie,creating Person class,Person class,class
Jackie,Merge pull request,pull request #1,request #1 from
aaiden Nicolas Witten,Automatically backed up,backed up by,up by Learn
Brokalys bot,"Monthly data (land,","data (land, rent,","(land, rent, riga):"
mmetaa,Update run_generator.py,run_generator.py,
Mina,Add files via,files via upload,via upload
Robert Brisita,Adding run instructions.,run instructions.,instructions.
Has3ong,2019-12-20 Update,Update,
Jim Wu,MlgmXyysd Github Update,Github Update Bot:,Update Bot: 1577840106
otiny,update,,
Alecia Vogel,Add reducer for,reducer for the,for the host
asdfghy6,'',,
Pieter Schutz,start of changes,of changes,changes
Pieter Schutz,cange to psty,to psty,psty
Pieter Schutz,Add two new,two new vagabonds,new vagabonds
Pieter Schutz,Mole update,update,
Pieter Schutz,Add Ronin,Ronin,
Pieter Schutz,Switch to new,to new factions,new factions and
Pieter Schutz,Save,,
Pieter Schutz,Organize saves,saves,
Pieter Schutz,Remove prints and,prints and add,and add save
Pieter Schutz,Fixing saves,saves,
Eldinnie,Merge pull request,pull request #6,request #6 from
TrainwreckOfThought,Delete CNAME,CNAME,
nicktackes,private trial added,trial added to,added to sdk
gccunanan,completed basic blog,basic blog app,blog app
Charles_Kawczynski,Fix/clean some docs,some docs,docs
bors[bot],[ci skip][skip ci][skip,skip][skip ci][skip netlify],ci][skip netlify] -bors-staging-tmp-194
otiny,update,,
Terence Chang,When computing end,computing end to,end to end
Alvaro,"info aceites 2019

mucha","aceites 2019

mucha informacion","2019

mucha informacion sobre"
Charles_Kawczynski,Fix/clean some docs,some docs,docs
bors[bot],"Merge #194

194: Fix/clean","#194

194: Fix/clean some",Fix/clean some docs
geos4s,Add sgroup07/METAR.json,sgroup07/METAR.json,
Iván Hernández,Estamos en problemas,en problemas,problemas
Johnny Hu,"Add tags, category,","tags, category, impressions","category, impressions"
Bot,update,,
TylerSpaulding,Adding user profile,user profile picture/,profile picture/ usernames
TylerSpaulding,Adding user profile,user profile picture/,profile picture/ usernames
Renovate Bot,Update dependency netlify-cms-app,dependency netlify-cms-app to,netlify-cms-app to v2.10.1
James Pace,Add CNAME again.,CNAME again.,again.
Taylor Cooke,adding base files,base files,files
Tonus1,Update README.md,README.md,
Brad,Merge pull request,pull request #16,request #16 from
Eddie Gomez,coolbeans,,
Brad,Merge pull request,pull request #17,request #17 from
Eddie Gomez,update to date,to date with,date with brad
Brad,Merge pull request,pull request #18,request #18 from
Eddie Gomez,logout redirect; own,redirect; own js,own js file
Eddie Gómez,Merge pull request,pull request #19,request #19 from
Eddie Gomez,up to date,to date with,date with upstream
Eddie Gomez,update,,
Eddie Gomez,logout added changed,added changed some,changed some var
Eddie Gómez,Merge pull request,pull request #20,request #20 from
Brad,Merge branch 'master',branch 'master' into,'master' into master
Joe,Fix links and,links and formatting,and formatting
linimon,Document OSVERSION 1300072.,OSVERSION 1300072.,1300072.
Alrik Firl,adding other tower,other tower properties,tower properties and
geekwise-korey-nichols,changed main to,main to app,to app
Alex Kwiatkowski,Disable async tests,async tests for,tests for events
Alex Kwiatkowski,Rename venue adapter,venue adapter accounts,adapter accounts to
Alex Kwiatkowski,Rename position account_id,position account_id ->,account_id -> credential_id
Alex Kwiatkowski,Rename asset balance,asset balance account_id,balance account_id ->
Alex Kwiatkowski,Rename fee info,fee info account_id,info account_id ->
Alex Kwiatkowski,Rename order account_id,order account_id ->,account_id -> credential_id
Alex Kwiatkowski,Rename order submissions,order submissions account_id,submissions account_id ->
Alex Kwiatkowski,Update README credential,README credential columns,credential columns
Alex Kwiatkowski,WIP: Rename AssetBalance,Rename AssetBalance struct,AssetBalance struct ->
Alex Kwiatkowski,WIP: Rename AssetBalanceStore,Rename AssetBalanceStore ->,AssetBalanceStore -> AccountStore
Alex Kwiatkowski,WIP: Update boot,Update boot to,boot to use
Alex Kwiatkowski,WIP: Rename AssetBalance,Rename AssetBalance events,AssetBalance events ->
Alex Kwiatkowski,WIP: Rename Venue.asset_balances,Rename Venue.asset_balances ->,Venue.asset_balances -> accounts
Alex Kwiatkowski,WIP: Rename balance,Rename balance command,balance command ->
Alex Kwiatkowski,WIP: Update test,Update test name,test name for
donaldsouza,message_2020-01-01T00:55:14,,
Priz,fixed autodoc program,autodoc program,program
Priz,Merge remote-tracking branch,remote-tracking branch 'origin/master',branch 'origin/master'
Valerio Proietti,v1.0.3,,
psandra1997,Update index.html,index.html,
Perdyx,$($commit_str),,
shredofpiece,reimplementing debug level,debug level including,level including smaller
shredofpiece,reimplementing boost ptr_list,"boost ptr_list (faulty),","ptr_list (faulty), documentation"
mandeep489,Delete FinalReport.ipynb,FinalReport.ipynb,
bbxyard,+ auto test,auto test,test
unknown,speech systhesis html,systhesis html,html
SockPuppetry,Travis CI build,CI build 187073,build 187073
eschul07,Update README.md,README.md,
Travis CI,Travis Deploy: 4458316d6217562e943362080fb1d98cdb903544,Deploy: 4458316d6217562e943362080fb1d98cdb903544,4458316d6217562e943362080fb1d98cdb903544
root,autocommit,,
jdizz,Update README.md image,README.md image size,image size
Couchbase Build Team,couchbase-lite-android 2.8.0 build,"2.8.0 build 2.8.0-36

2019/12/31","build 2.8.0-36

2019/12/31 16:55:15"
Ren Li,Update home_new.html,home_new.html,
Anthony Mattson,Added the project,the project url,project url to
Lektor Bot,Synchronized build,build,
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:55:19
Tzung-Chien,Add output dir,"output dir support

User","dir support

User is"
Tzung-Chien,Add log in,"log in Snakefile

Add","in Snakefile

Add log"
Tzung-Chien,Change working dir,working dir in,dir in jannovar_server
Tzung-Chien,Update file for,file for exon,for exon region
Tzung-Chien,Update CADD file,CADD file download,file download links
Tzung-Chien,"Update pedia simulator

Update","pedia simulator

Update simulator","simulator

Update simulator to"
Tzung-Chien,Update cadd file,cadd file and,file and exon
Tzung-Chien,Rename preprocess.py to,"preprocess.py to pedia.py

Rename","to pedia.py

Rename preprocess.py"
Tzung-Chien,Add preprocessed pickle,preprocessed pickle and,pickle and param
Tzung-Chien,Fix bug in,bug in convert,in convert file
Tzung-Chien,Upgrade bcftools to,bcftools to 1.5,to 1.5
Tzung-Chien,Add default username,default username in,username in convert
Tzung-Chien,Remove info column,info column in,column in VCF
Tzung-Chien,Add null check,null check for,check for syndrome
Tzung-Chien,Update omim file,omim file,file
Tzung-Chien,Add selecting sample,selecting sample in,sample in multi
beginor,zh-Hans extra,extra,
beginor,update tslint,tslint,
beginor,format app shared.,app shared.,shared.
beginor,fix lint,lint,
beginor,import app-shared module,app-shared module,module
Adam Porter,Docs: Add screenshots,Add screenshots,screenshots
Brad Heffernan,updated,,
Christopher Lakey,Tweaks to exec,to exec model,exec model
Christopher Lakey,Merge pull request,pull request #190,request #190 from
aaiden Nicolas Witten,Automatically backed up,backed up by,up by Learn
geos4s,Add sgroup07/metar_eddn.csv,sgroup07/metar_eddn.csv,
mrz1836,Ability to customize,to customize the,customize the cookie
jacob guin,markus wants code,wants code,code
daniel,functionality completed,completed,
geos4s,Add sgroup03/metar_europe.csv,sgroup03/metar_europe.csv,
